airport_id,airport_name,city,country,latitude,longitude
SCEL,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,-33.39300156,-70.78579712
SCFA,Andrés Sabella Gálvez International Airport,Antofagasta,Chile,-23.444501,-70.445099
SCFM,Capitan Fuentes Martinez Airport Airport,Porvenir,Chile,-53.25370026,-70.31919861
SCFT,Futaleufú Airport,Futaleufu,Chile,-43.18920135,-71.85109711
SCGE,María Dolores Airport,Los Angeles,Chile,-37.40169907,-72.42539978
SCGZ,Guardiamarina Zañartu Airport,Puerto Williams,Chile,-54.93109894,-67.626297
SCIE,Carriel Sur Airport,Concepcion,Chile,-36.772701,-73.063103
SCIP,Mataveri Airport,Easter Island,Chile,-27.16480064,-109.4219971
SCJO,Cañal Bajo Carlos - Hott Siebert Airport,Osorno,Chile,-40.61119843,-73.06099701
SCLL,Vallenar Airport,Vallenar,Chile,-28.59639931,-70.7559967
SCRG,De La Independencia Airport,Rancagua,Chile,-34.17369843,-70.77570343
SCRM,Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,-62.19079971,-58.98669815
SCSE,La Florida Airport,La Serena,Chile,-29.916201,-71.199501
SCTB,Eulogio Sánchez Airport,Santiago,Chile,-33.45629883,-70.54669952
SCTC,Maquehue Airport,Temuco,Chile,-38.76679993,-72.63710022
SCTE,El Tepual Airport,Puerto Montt,Chile,-41.43889999,-73.09400177
SCTN,Chaitén Airport,Chaiten,Chile,-42.93280029,-72.69909668
SCVD,Pichoy Airport,Valdivia,Chile,-39.65000153,-73.08609772
SEAM,Chachoán Airport,Ambato,Ecuador,-1.212069988,-78.57460022
SECM,Hacienda Clementina Airport,Clementia,Ecuador,-1.706269979,-79.37889862
SECO,Francisco De Orellana Airport,Coca,Ecuador,-0.462886006,-76.98680115
SECU,Mariscal Lamar Airport,Cuenca,Ecuador,-2.88947,-78.984398
SEGS,Seymour Airport,Galapagos,Ecuador,-0.453758001,-90.26589966
SEGU,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,-2.15741992,-79.88359833
SEGZ,Gualaquiza Airport,Gualaquiza,Ecuador,-3.423209906,-78.56700134
SEIB,Atahualpa Airport,Ibarra,Ecuador,0.33841899,-78.13639832
SEKK,Km 192 Airport,Km-192,Ecuador,0.184202999,-79.39199829
SELJ,Hacienda La Julia Airport,La Julia,Ecuador,-1.704380035,-79.5522995
SELT,Cotopaxi International Airport,Latacunga,Ecuador,-0.906833,-78.615799
SEMA,Jose Maria Velasco Ibarra Airport,Macara,Ecuador,-4.378230095,-79.94100189
SEMC,Coronel E Carvajal Airport,Macas,Ecuador,-2.299170017,-78.1207962
SEMH,General Manuel Serrano Airport,Machala,Ecuador,-3.2689,-79.961601
SEMO,El Carmen Airport,Montalvo,Ecuador,-2.067009926,-76.97570038
SEMT,Eloy Alfaro International Airport,Manta,Ecuador,-0.946078002,-80.67880249
SEMX,Maragrosa Airport,Maragrosa,Ecuador,-2.851099968,-79.8035965
SEPS,Amable Calle Gutierrez Airport,Pasaje,Ecuador,-3.319669962,-79.76920319
SEPV,Reales Tamarindos Airport,Portoviejo,Ecuador,-1.041650057,-80.47219849
SEQE,Quevedo Airport,Quevedo,Ecuador,-0.989400029,-79.46510315
SEQM,Mariscal Sucre International Airport,Quito,Ecuador,-0.129166667,-78.3575
SERB,Chimborazo Airport,Riobamba,Ecuador,-1.653429985,-78.65609741
SERO,Santa Rosa International Airport,Santa Rosa,Ecuador,-3.441986,-79.996957
SESA,General Ulpiano Paez Airport,Salinas,Ecuador,-2.20499,-80.988899
SESD,Santo Domingo de Los Colorados Airport,Santo Domingo,Ecuador,-0.248221993,-79.21440125
SETA,Taura Airport,Taura,Ecuador,-2.261039972,-79.68019867
SETE,Mayor Galo Torres Airport,Tena,Ecuador,-0.986766994,-77.81950378
SETR,Tarapoa Airport,Tarapoa,Ecuador,-0.122956,-76.33779907
SETU,Teniente Coronel Luis a Mantilla Airport,Tulcan,Ecuador,0.809505999,-77.70809937
SGAS,Silvio Pettirossi International Airport,Asuncion,Paraguay,-25.23999977,-57.52000046
SGAY,Juan De Ayolas Airport,Ayolas,Paraguay,-27.370554,-56.854064
SGCO,Teniente Col Carmelo Peralta Airport,Conception,Paraguay,-23.442363,-57.427253
SGIB,Itaipú Airport,Itaipu,Paraguay,-25.407519,-54.619377
SGME,Dr. Luis Maria Argaña International Airport,Mariscal Estigarribia,Paraguay,-22.04999924,-60.61999893
SGPI,Carlos Miguel Gimenez Airport,Pilar,Paraguay,-26.881224,-58.318026
SKAR,El Eden Airport,Armenia,Colombia,4.45278,-75.7664
SKAS,Tres De Mayo Airport,Puerto Asis,Colombia,0.505228,-76.5008
SKBC,Las Flores Airport,El Banco,Colombia,9.04554,-73.9749
SKBG,Palonegro Airport,Bucaramanga,Colombia,7.1265,-73.1848
SKBO,El Dorado International Airport,Bogota,Colombia,4.70159,-74.1469
SKBQ,Ernesto Cortissoz International Airport,Barranquilla,Colombia,10.8896,-74.7808
SKBS,José Celestino Mutis Airport,Bahia Solano,Colombia,6.20292,-77.3947
SKBU,Gerardo Tobar López Airport,Buenaventura,Colombia,3.81963,-76.9898
SKCC,Camilo Daza International Airport,Cucuta,Colombia,7.92757,-72.5115
SKCG,Rafael Nuñez International Airport,Cartagena,Colombia,10.4424,-75.513
SKCL,Alfonso Bonilla Aragon International Airport,Cali,Colombia,3.54322,-76.3816
SKCO,La Florida Airport,Tumaco,Colombia,1.81442,-78.7492
SKCZ,Las Brujas Airport,Corozal,Colombia,9.33274,-75.2856
SKEJ,Yariguíes Airport,Barrancabermeja,Colombia,7.02433,-73.8068
SKFL,Gustavo Artunduaga Paredes Airport,Florencia,Colombia,1.58919,-75.5644
SKGI,Santiago Vila Airport,Girardot,Colombia,4.27624,-74.7967
SKGP,Juan Casiano Airport,Guapi,Colombia,2.57013,-77.8986
SKGY,Guaymaral Airport,Guaymaral,Colombia,4.81233,-74.0649
SKIB,Perales Airport,Ibague,Colombia,4.42161,-75.1333
SKIP,San Luis Airport,Ipiales,Colombia,0.861925,-77.6718
SKLC,Antonio Roldan Betancourt Airport,Carepa,Colombia,7.81196,-76.7164
SKLM,Jorge Isaac Airport,La Mina,Colombia,11.2325,-72.4901
SKLT,Alfredo Vásquez Cobo International Airport,Leticia,Colombia,-4.19355,-69.9432
SKMD,Enrique Olaya Herrera Airport,Medellin,Colombia,6.220549,-75.590582
SKMG,Baracoa Airport,Magangue,Colombia,9.28474,-74.8461
SKMR,Los Garzones Airport,Monteria,Colombia,8.82374,-75.8258
SKMU,Fabio Alberto Leon Bentley Airport,Mitu,Colombia,1.25366,-70.2339
SKMZ,La Nubia Airport,Manizales,Colombia,5.0296,-75.4647
SKNV,Benito Salas Airport,Neiva,Colombia,2.95015,-75.294
SKOC,Aguas Claras Airport,Ocana,Colombia,8.31506,-73.3583
SKOT,Otu Airport,Otu,Colombia,7.01037,-74.7155
SKPB,Puerto Bolívar Airport,Puerto Bolivar,Colombia,12.2215,-71.9848
SKPC,German Olano Airport,Puerto Carreno,Colombia,6.18472,-67.4932
SKPE,Matecaña International Airport,Pereira,Colombia,4.81267,-75.7395
SKPI,Pitalito Airport,Pitalito,Colombia,1.85777,-76.0857
SKPP,Guillermo León Valencia Airport,Popayan,Colombia,2.4544,-76.6093
SKPS,Antonio Narino Airport,Pasto,Colombia,1.39625,-77.2915
SKPV,El Embrujo Airport,Providencia,Colombia,13.3569,-81.3583
SKQU,Mariquita Airport,Mariquita,Colombia,5.21256,-74.8836
SKRG,Jose Maria Córdova International Airport,Rio Negro,Colombia,6.16454,-75.4231
SKRH,Almirante Padilla Airport,Rio Hacha,Colombia,11.5262,-72.926
SKSJ,Jorge E. Gonzalez Torres Airport,San Jose Del Guaviare,Colombia,2.57969,-72.6394
SKSM,Simón Bolívar International Airport,Santa Marta,Colombia,11.1196,-74.2306
SKSP,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,12.5836,-81.7112
SKSV,Eduardo Falla Solano Airport,San Vincente De Caguan,Colombia,2.15217,-74.7663
SKTM,Gustavo Vargas Airport,Tame,Colombia,6.45108,-71.7603
SKUC,Santiago Perez Airport,Arauca,Colombia,7.06888,-70.7369
SKUI,El Caraño Airport,Quibdo,Colombia,5.69076,-76.6412
SKUL,Heriberto Gíl Martínez Airport,Tulua,Colombia,4.08836,-76.2351
SKVP,Alfonso López Pumarejo Airport,Valledupar,Colombia,10.435,-73.2495
SKVV,Vanguardia Airport,Villavicencio,Colombia,4.16787,-73.6138
SLBJ,Bermejo Airport,Bermejo,Bolivia,-22.77330017,-64.31289673
SLCB,Jorge Wilsterman International Airport,Cochabamba,Bolivia,-17.42110062,-66.17710114
SLCH,Chimore Airport,Chapacura,Bolivia,-16.976834,-65.145568
SLCO,Capitán Aníbal Arab Airport,Cobija,Bolivia,-11.04039955,-68.78299713
SLLP,El Alto International Airport,La Paz,Bolivia,-16.51329994,-68.19229889
SLOR,Juan Mendoza Airport,Oruro,Bolivia,-17.96260071,-67.07620239
SLPO,Capitan Nicolas Rojas Airport,Potosi,Bolivia,-19.54310036,-65.72370148
SLPS,Capitán Av. Salvador Ogaya G. airport,Puerto Suarez,Bolivia,-18.975301,-57.820599
SLSA,Santa Ana Del Yacuma Airport,Santa Ana,Bolivia,-13.76220036,-65.43520355
SLSU,Juana Azurduy De Padilla Airport,Sucre,Bolivia,-19.00709915,-65.28869629
SLTJ,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,-21.5557003,-64.70130157
SLTR,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,Bolivia,-14.81869984,-64.91799927
SLVM,Teniente Coronel Rafael Pabón Airport,Villa Montes,Bolivia,-21.25519943,-63.4056015
SLVR,Viru Viru International Airport,Santa Cruz,Bolivia,-17.6448,-63.135399
SLYA,Yacuiba Airport,Yacuiba,Bolivia,-21.96089935,-63.65169907
SMJP,Johan Adolf Pengel International Airport,Zandery,Suriname,5.452829838,-55.18780136
SOCA,Cayenne-Rochambeau Airport,Cayenne,French Guiana,4.819809914,-52.36040115
SOOG,Saint-Georges-de-l'Oyapock Airport,St.-georges Oyapock,French Guiana,3.897599936,-51.80410004
SPAB,Huancabamba Airport,Huancabamba,Peru,-5.256770134,-79.44290161
SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,-2.796129942,-76.46659851
SPAY,Teniente General Gerardo Pérez Pinedo Airport,Atalaya,Peru,-10.72910023,-73.76650238
SPBR,Iberia Airport,Iberia,Peru,-11.41160011,-69.48870087
SPCL,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,-8.377940178,-74.57430267
SPEO,Teniente FAP Jaime A De Montreuil Morales Airport,Chimbote,Peru,-9.149609566,-78.52380371
SPEP,Puerto Esperanza Airport,Puerto Esperanza,Peru,-9.768130302,-70.70649719
SPEQ,Cesar Torke Podesta Airport,Moquegua,Peru,-17.17900085,-70.93080139
SPHI,Capitan FAP Jose A Quinones Gonzales International Airport,Chiclayo,Peru,-6.787479877,-79.82810211
SPHO,Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,Peru,-13.15480042,-74.20439911
SPHY,Andahuaylas Airport,Andahuaylas,Peru,-13.70639992,-73.35040283
SPHZ,Comandante FAP German Arias Graziani Airport,Anta,Peru,-9.347439766,-77.5983963
SPIM,Jorge Chávez International Airport,Lima,Peru,-12.0219,-77.114305
SPJI,Juanjui Airport,Juanjui,Peru,-7.169099808,-76.72859955
SPJJ,Francisco Carle Airport,Jauja,Peru,-11.78310013,-75.4733963
SPJL,Inca Manco Capac International Airport,Juliaca,Peru,-15.46710014,-70.15820313
SPLO,Ilo Airport,Ilo,Peru,-17.69499969,-71.34400177
SPLP,Las Palmas Air Base,Las Palmas,Peru,-12.16069984,-76.99890137
SPME,Capitan FAP Pedro Canga Rodriguez Airport,Tumbes,Peru,-3.55253005,-80.38140106
SPMS,Moises Benzaquen Rengifo Airport,Yurimaguas,Peru,-5.893770218,-76.11820221
SPOL,Collique Airport,Collique,Peru,-11.92870045,-77.06109619
SPPY,Chachapoyas Airport,Chachapoyas,Peru,-6.201809883,-77.85610199
SPQT,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,Peru,-3.784739971,-73.30879974
SPQU,Rodríguez Ballón International Airport,Arequipa,Peru,-16.34110069,-71.58309937
SPRM,Capitán FAP Leonardo Alvariño Herr Airport,San Ramon,Peru,-11.12860012,-75.35050201
SPRU,Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,Peru,-8.081410408,-79.1088028
SPSO,Capitán FAP Renán Elías Olivera International Airport,Pisco,Peru,-13.74489975,-76.22029877
SPST,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,-6.508739948,-76.37319946
